Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,symptom_list,symptoms_text,severity_score,num_symptoms
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes']", fatigue  yellowish_skin  nausea  loss_of_appetite  yellowing_of_eyes,20,5
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']", joint_pain  vomiting  fatigue  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,36,9
Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"['vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']", vomiting  fatigue  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,33,8
Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"['joint_pain', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']", joint_pain  fatigue  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,31,8
Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']", joint_pain  vomiting  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,32,8
Hepatitis D, joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']", joint_pain  vomiting  fatigue  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,33,8
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']", joint_pain  vomiting  fatigue  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,32,8
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']", joint_pain  vomiting  fatigue  yellowish_skin  dark_urine  loss_of_appetite  abdominal_pain  yellowing_of_eyes,31,8
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'abdominal_pain', 'yellowing_of_eyes']", joint_pain  vomiting  fatigue  yellowish_skin  dark_urine  nausea  abdominal_pain  yellowing_of_eyes,32,8
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes']", joint_pain  vomiting  fatigue  yellowish_skin  dark_urine  nausea  loss_of_appetite  yellowing_of_eyes,32,8
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']", joint_pain  vomiting  fatigue  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain,32,8
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'coma', 'stomach_bleeding']", joint_pain  vomiting  fatigue  high_fever  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes  coma  stomach_bleeding,56,12
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'acute_liver_failure', 'coma', 'stomach_bleeding']", joint_pain  vomiting  fatigue  high_fever  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes  acute_liver_failure  coma  stomach_bleeding,62,13
Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,"['vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'acute_liver_failure', 'coma', 'stomach_bleeding']", vomiting  fatigue  high_fever  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes  acute_liver_failure  coma  stomach_bleeding,59,12
Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,"['joint_pain', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'acute_liver_failure', 'coma', 'stomach_bleeding']", joint_pain  fatigue  high_fever  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes  acute_liver_failure  coma  stomach_bleeding,57,12
Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,"['joint_pain', 'vomiting', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'acute_liver_failure', 'coma', 'stomach_bleeding']", joint_pain  vomiting  high_fever  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes  acute_liver_failure  coma  stomach_bleeding,58,12
Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'acute_liver_failure', 'coma', 'stomach_bleeding']", joint_pain  vomiting  fatigue  yellowish_skin  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes  acute_liver_failure  coma  stomach_bleeding,55,12
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'acute_liver_failure', 'coma', 'stomach_bleeding']", joint_pain  vomiting  fatigue  high_fever  dark_urine  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes  acute_liver_failure  coma  stomach_bleeding,59,12
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'acute_liver_failure', 'coma', 'stomach_bleeding']", joint_pain  vomiting  fatigue  high_fever  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes  acute_liver_failure  coma  stomach_bleeding,58,12
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes', 'acute_liver_failure', 'coma', 'stomach_bleeding']", joint_pain  vomiting  fatigue  high_fever  yellowish_skin  dark_urine  loss_of_appetite  abdominal_pain  yellowing_of_eyes  acute_liver_failure  coma  stomach_bleeding,57,12
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']", vomiting  yellowish_skin  abdominal_pain  swelling_of_stomach  distention_of_abdomen  history_of_alcohol_consumption  fluid_overload,32,7
Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"['yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']", yellowish_skin  abdominal_pain  swelling_of_stomach  distention_of_abdomen  history_of_alcohol_consumption  fluid_overload,27,6
Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"['vomiting', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']", vomiting  abdominal_pain  swelling_of_stomach  distention_of_abdomen  history_of_alcohol_consumption  fluid_overload,29,6
Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"['vomiting', 'yellowish_skin', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']", vomiting  yellowish_skin  swelling_of_stomach  distention_of_abdomen  history_of_alcohol_consumption  fluid_overload,28,6
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']", vomiting  yellowish_skin  abdominal_pain  distention_of_abdomen  history_of_alcohol_consumption  fluid_overload,25,6
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'history_of_alcohol_consumption', 'fluid_overload']", vomiting  yellowish_skin  abdominal_pain  swelling_of_stomach  history_of_alcohol_consumption  fluid_overload,28,6
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload,,,,,,,,,,,,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'fluid_overload']", vomiting  yellowish_skin  abdominal_pain  swelling_of_stomach  distention_of_abdomen  fluid_overload,27,6
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption,,,,,,,,,,,,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption']", vomiting  yellowish_skin  abdominal_pain  swelling_of_stomach  distention_of_abdomen  history_of_alcohol_consumption,28,6
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", chills  vomiting  fatigue  weight_loss  cough  high_fever  breathlessness  sweating  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,75,16
Tuberculosis, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"['vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", vomiting  fatigue  weight_loss  cough  high_fever  breathlessness  sweating  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,72,15
Tuberculosis, chills, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"['chills', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", chills  fatigue  weight_loss  cough  high_fever  breathlessness  sweating  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,70,15
Tuberculosis, chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"['chills', 'vomiting', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", chills  vomiting  weight_loss  cough  high_fever  breathlessness  sweating  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,71,15
Tuberculosis, chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"['chills', 'vomiting', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", chills  vomiting  fatigue  cough  high_fever  breathlessness  sweating  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,72,15
Tuberculosis, chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'breathlessness', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", chills  vomiting  fatigue  weight_loss  high_fever  breathlessness  sweating  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,71,15
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'breathlessness', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", chills  vomiting  fatigue  weight_loss  cough  breathlessness  sweating  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,68,15
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'sweating', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", chills  vomiting  fatigue  weight_loss  cough  high_fever  sweating  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,71,15
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'loss_of_appetite', 'mild_fever', 'yellowing_of_eyes', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'chest_pain', 'blood_in_sputum']", chills  vomiting  fatigue  weight_loss  cough  high_fever  breathlessness  loss_of_appetite  mild_fever  yellowing_of_eyes  swelled_lymph_nodes  malaise  phlegm  chest_pain  blood_in_sputum,72,15
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", continuous_sneezing  chills  fatigue  cough  high_fever  headache  swelled_lymph_nodes  malaise  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,77,17
Common Cold, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"['chills', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", chills  fatigue  cough  high_fever  headache  swelled_lymph_nodes  malaise  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,73,16
Common Cold, continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"['continuous_sneezing', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", continuous_sneezing  fatigue  cough  high_fever  headache  swelled_lymph_nodes  malaise  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,74,16
Common Cold, continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"['continuous_sneezing', 'chills', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", continuous_sneezing  chills  cough  high_fever  headache  swelled_lymph_nodes  malaise  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,73,16
Common Cold, continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"['continuous_sneezing', 'chills', 'fatigue', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", continuous_sneezing  chills  fatigue  high_fever  headache  swelled_lymph_nodes  malaise  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,73,16
Common Cold, continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'headache', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", continuous_sneezing  chills  fatigue  cough  headache  swelled_lymph_nodes  malaise  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,70,16
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", continuous_sneezing  chills  fatigue  cough  high_fever  swelled_lymph_nodes  malaise  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,74,16
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'headache', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", continuous_sneezing  chills  fatigue  cough  high_fever  headache  malaise  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,71,16
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']", continuous_sneezing  chills  fatigue  cough  high_fever  headache  swelled_lymph_nodes  phlegm  throat_irritation  redness_of_eyes  sinus_pressure  runny_nose  congestion  chest_pain  loss_of_smell  muscle_pain,71,16
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"['chills', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'chest_pain', 'fast_heart_rate', 'rusty_sputum']", chills  fatigue  cough  high_fever  breathlessness  sweating  malaise  chest_pain  fast_heart_rate  rusty_sputum,47,10
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,"['chills', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chest_pain', 'fast_heart_rate', 'rusty_sputum']", chills  fatigue  cough  high_fever  breathlessness  sweating  malaise  phlegm  chest_pain  fast_heart_rate  rusty_sputum,52,11
Pneumonia, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chest_pain', 'fast_heart_rate', 'rusty_sputum']", fatigue  cough  high_fever  breathlessness  sweating  malaise  phlegm  chest_pain  fast_heart_rate  rusty_sputum,49,10
Pneumonia, chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"['chills', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chest_pain', 'fast_heart_rate', 'rusty_sputum']", chills  cough  high_fever  breathlessness  sweating  malaise  phlegm  chest_pain  fast_heart_rate  rusty_sputum,48,10
Pneumonia, chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"['chills', 'fatigue', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chest_pain', 'fast_heart_rate', 'rusty_sputum']", chills  fatigue  high_fever  breathlessness  sweating  malaise  phlegm  chest_pain  fast_heart_rate  rusty_sputum,48,10
Pneumonia, chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"['chills', 'fatigue', 'cough', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chest_pain', 'fast_heart_rate', 'rusty_sputum']", chills  fatigue  cough  breathlessness  sweating  malaise  phlegm  chest_pain  fast_heart_rate  rusty_sputum,45,10
